
graphs/exact_public/e_127,2048,25492
graphs/exact_public/e_187,1024,3632
graphs/exact_public/e_119,32768,272707
graphs/exact_public/e_143,65536,303696
graphs/exact_public/e_175,2048,22520
graphs/exact_public/e_007,1024,4198
graphs/exact_public/e_031,4096,26071
graphs/exact_public/e_091,2048,3364
graphs/exact_public/e_039,1024,2570
graphs/exact_public/e_055,4096,12085
graphs/exact_public/e_099,8192,38175
graphs/exact_public/e_063,4096,23766
graphs/exact_public/e_079,8192,52154
graphs/exact_public/e_083,2048,3537
graphs/exact_public/e_023,2048,5400
graphs/exact_public/e_015,2048,9390
graphs/exact_public/e_071,2048,4896
graphs/exact_public/e_047,4096,28612
graphs/exact_public/e_195,1024,32768
graphs/exact_public/e_159,65536,550097
graphs/exact_public/e_135,32768,240816
graphs/exact_public/e_103,16384,77536
graphs/exact_public/e_167,1024,5487
graphs/exact_public/e_151,65536,653240
graphs/exact_public/e_183,1024,5471
graphs/exact_public/e_179,2048,27346
graphs/exact_public/e_115,32768,304304
graphs/exact_public/e_123,32768,256256
graphs/exact_public/e_147,1024,25052
graphs/exact_public/e_171,131072,604042
graphs/exact_public/e_095,8192,59029
graphs/exact_public/e_003,1024,6055
graphs/exact_public/e_035,4096,17074
graphs/exact_public/e_051,4096,12946
graphs/exact_public/e_067,2048,4241
graphs/exact_public/e_027,2048,9406
graphs/exact_public/e_011,4096,15076
graphs/exact_public/e_087,8192,69372
graphs/exact_public/e_019,2048,11718
graphs/exact_public/e_075,8192,31504
graphs/exact_public/e_043,2048,5700
graphs/exact_public/e_131,32768,240240
graphs/exact_public/e_107,16384,104833
graphs/exact_public/e_191,2048,4143
graphs/exact_public/e_139,65536,288492
graphs/exact_public/e_163,131072,574081
graphs/exact_public/e_199,16384,559996
graphs/exact_public/e_155,65536,619239
graphs/exact_public_2/e_129,32768,256665
graphs/exact_public_2/e_173,1024,23175
graphs/exact_public_2/e_189,1024,2048
graphs/exact_public_2/e_145,2048,27086
graphs/exact_public_2/e_121,1024,5480
graphs/exact_public_2/e_117,32768,304790
graphs/exact_public_2/e_181,32768,321088
graphs/exact_public_2/e_009,1024,6804
graphs/exact_public_2/e_065,8192,48759
graphs/exact_public_2/e_053,4096,26872
graphs/exact_public_2/e_037,4096,28675
graphs/exact_public_2/e_001,512,651
graphs/exact_public_2/e_097,16384,103725
graphs/exact_public_2/e_041,4096,27082
graphs/exact_public_2/e_077,8192,54744
graphs/exact_public_2/e_049,4096,23857
graphs/exact_public_2/e_085,8192,69446
graphs/exact_public_2/e_013,2048,7038
graphs/exact_public_2/e_025,1024,2802
graphs/exact_public_2/e_157,65536,652583
graphs/exact_public_2/e_161,2048,28713
graphs/exact_public_2/e_193,1024,17144
graphs/exact_public_2/e_169,131072,604300
graphs/exact_public_2/e_105,2048,10584
graphs/exact_public_2/e_133,2048,22332
graphs/exact_public_2/e_177,32768,320320
graphs/exact_public_2/e_141,65536,303686
graphs/exact_public_2/e_185,4096,62879
graphs/exact_public_2/e_149,1024,3624
graphs/exact_public_2/e_125,32768,288748
graphs/exact_public_2/e_113,1024,25750
graphs/exact_public_2/e_061,2048,4320
graphs/exact_public_2/e_057,4096,12298
graphs/exact_public_2/e_069,4096,22368
graphs/exact_public_2/e_093,16384,109487
graphs/exact_public_2/e_033,1024,2010
graphs/exact_public_2/e_005,1024,5736
graphs/exact_public_2/e_029,2048,11302
graphs/exact_public_2/e_045,4096,30202
graphs/exact_public_2/e_089,8192,55556
graphs/exact_public_2/e_073,8192,51796
graphs/exact_public_2/e_017,1024,3800
graphs/exact_public_2/e_021,2048,6147
graphs/exact_public_2/e_081,8192,51030
graphs/exact_public_2/e_109,16384,149298
graphs/exact_public_2/e_153,2048,22306
graphs/exact_public_2/e_165,131072,603932
graphs/exact_public_2/e_101,32768,246723
graphs/exact_public_2/e_137,2048,7003
graphs/exact_public_2/e_197,4096,93346
