graph_name,v,e
5989_e_101,1,1
1401_e_049,1,1
2904_e_071,1,1
5636_e_099,3,6
3508_e_079,13,69
4279_e_091,1,1
4579_e_093,11,60
5673_e_099,4,12
4176_e_089,5,17
2941_e_071,1,1
2699_e_069,1,1
4511_e_091,2,4
6140_e_101,38,301
4554_e_091,2,4
6105_e_101,74,626
4685_e_093,19,115
5083_e_097,29,230
1966_e_057,1,1
3704_e_081,2,4
3847_e_083,3,6
1923_e_057,1,1
3741_e_081,11,64
3802_e_083,1,1
1369_e_049,7,26
3305_e_077,66,462
2243_e_063,53,271
1394_e_049,93,646
930_e_031,1,1
2345_e_065,24,134
2445_e_067,1,1
2206_e_063,22,139
4138_e_083,1,1
1169_e_039,1,1
4678_e_093,4,13
5537_e_099,4,11
735_e_027,1,1
2991_e_073,42,252
5572_e_099,43,195
770_e_027,4,12
6241_e_101,15,64
6302_e_107,1,1
2664_e_069,28,164
4284_e_091,2,4
4584_e_093,13,93
6204_e_101,3,7
4916_e_093,24,122
2621_e_069,79,470
267_e_017,1,1
958_e_033,1,1
5974_e_101,116,884
5931_e_101,100,806
4765_e_093,6,19
4965_e_097,41,268
3380_e_079,35,217
4720_e_093,47,282
4060_e_083,4,11
5126_e_097,1,1
1780_e_055,1,1
64_e_009,1,1
1512_e_051,1,1
3218_e_077,1,1
1886_e_057,6,13
1074_e_039,5,16
4025_e_083,3,6
5163_e_097,15,77
2558_e_067,1,1
5869_e_101,106,753
5793_e_099,38,186
640_e_025,14,44
5342_e_099,7,25
497_e_021,2,4
605_e_025,1,1
4399_e_091,6,30
3415_e_079,85,528
4364_e_091,2,4
2819_e_071,2,4
3450_e_079,37,200
1282_e_043,2,4
4321_e_091,1,1
1813_e_055,1,1
150_e_013,31,199
866_e_029,15,56
5227_e_097,27,208
1587_e_053,1,1
823_e_029,7,23
5262_e_097,4,11
5894_e_101,175,1194
3619_e_081,16,87
895_e_031,1,1
1089_e_039,1,1
3032_e_073,15,82
2037_e_061,1,1
1738_e_055,1,1
99_e_009,3,7
2072_e_061,3,7
3134_e_075,1,1
3077_e_073,20,137
5800_e_099,7,21
5492_e_099,31,116
5845_e_099,61,303
4798_e_093,8,46
2777_e_071,2,3
6018_e_101,95,682
4998_e_097,59,347
3338_e_079,55,345
4449_e_091,8,24
5753_e_099,10,36
2861_e_071,13,47
1007_e_033,11,37
5382_e_099,169,957
680_e_025,1,1
2824_e_071,4,11
457_e_021,1,1
1042_e_033,1,1
5716_e_099,5,21
4359_e_091,2,4
3428_e_079,36,234
128_e_013,1,1
3161_e_077,51,336
1740_e_055,3,7
1603_e_053,1,1
3922_e_083,1,1
3661_e_081,183,1350
1646_e_053,1,1
1705_e_055,1,1
1846_e_057,1,1
3967_e_083,9,29
2598_e_067,19,74
3624_e_081,35,256
4474_e_091,1,1
6025_e_101,362,2862
4431_e_091,6,17
3340_e_079,24,145
6060_e_101,8,27
5452_e_099,1,1
4958_e_097,16,97
4758_e_093,1,1
4489_e_091,4,11
5417_e_099,2,4
2565_e_067,5,15
3260_e_077,4,12
4018_e_083,4,13
3225_e_077,85,729
2520_e_067,1,1
59_e_009,1,1
190_e_013,29,146
302_e_017,1,1
5854_e_101,128,1070
347_e_017,1,1
638_e_025,1,1
1207_e_043,1,1
4836_e_093,39,217
2701_e_069,47,240
1242_e_043,1,1
3490_e_079,121,863
4930_e_095,1,1
4873_e_093,10,63
1193_e_041,7,29
2744_e_069,59,425
1154_e_039,5,15
4105_e_083,1,1
5043_e_097,6,24
2478_e_067,1,1
2378_e_065,1,1
3887_e_083,5,11
1477_e_051,7,17
4140_e_083,2,4
5006_e_097,1,1
1111_e_039,13,58
3781_e_081,1,1
1432_e_051,33,151
232_e_015,16,96
6180_e_101,5,15
4600_e_093,1,1
708_e_027,1,1
4645_e_093,35,222
6239_e_101,3,7
2659_e_069,8,46
387_e_019,19,78
2410_e_065,67,329
2182_e_063,29,148
5949_e_101,18,74
965_e_033,1,1
998_e_033,8,25
5307_e_097,8,31
4201_e_091,1,1
6281_e_101,23,162
4244_e_091,1,1
3535_e_079,1,1
2939_e_071,3,6
567_e_023,1,1
6138_e_101,40,256
412_e_019,1,1
522_e_023,1,1
21_e_007,1,1
1354_e_049,41,256
2283_e_063,60,450
2152_e_061,3,7
2485_e_067,1,1
2385_e_065,9,31
3739_e_081,10,34
3112_e_073,14,79
2117_e_061,3,8
326_e_017,1,1
882_e_029,11,40
5286_e_097,1,1
5870_e_101,100,677
1563_e_053,10,61
4380_e_091,1,1
1223_e_043,1,1
4812_e_093,4,11
2725_e_069,34,182
1266_e_043,1,1
659_e_025,1,1
4857_e_093,19,111
2760_e_069,2,4
4939_e_097,8,47
4739_e_093,26,142
3399_e_079,135,955
5476_e_099,5,14
2793_e_071,1,1
5433_e_099,10,47
2302_e_063,88,584
3244_e_077,69,480
2541_e_067,4,11
2504_e_067,1,1
3201_e_077,55,320
1799_e_055,47,183
3093_e_073,183,1418
4079_e_083,3,6
2096_e_061,5,15
1764_e_055,1,1
1627_e_053,44,336
4084_e_083,8,24
3906_e_083,1,1
80_e_009,3,6
3645_e_081,7,27
1662_e_053,9,31
1721_e_055,1,1
5187_e_097,16,76
1862_e_057,39,109
1090_e_039,1,1
3943_e_083,4,12
3600_e_081,5,17
4450_e_091,1,1
4981_e_097,72,540
6001_e_101,4,11
4781_e_093,15,104
4415_e_091,1,1
3364_e_079,10,47
5819_e_099,15,68
6044_e_101,60,447
5777_e_099,24,121
2845_e_071,9,43
436_e_021,10,44
